Cited_App_nbr,in_degree,prio_year_cited,Shannon_Entropy
EP19780300148,3,1977,2.3025850929940455
EP19780100823,6,1977,2.995732273553991
EP19790301145,1,1978,2.0794415416798357
EP19790301142,1,1978,1.945910149055313
EP19790301557,1,1978,1.3862943611198906
EP19780300473,2,1977,1.6094379124341005
EP19790301619,1,1978,1.6094379124341005
EP19790300218,4,1978,1.7917594692280547
EP19780300328,2,1977,1.3862943611198906
EP19790300092,7,1978,2.772588722239781
EP19790300096,1,1978,1.945910149055313
EP19780300203,1,1977,2.3025850929940455
EP19800300119,5,1979,2.639057329615258
EP19780101490,2,1977,1.7917594692280547
EP19780101491,2,1977,1.3862943611198906
EP19790100289,4,1978,2.995732273553991
EP19800300478,3,1979,1.3862943611198906
EP19800300521,1,1979,2.1972245773362196
EP19780101294,2,1978,2.995732273553991
EP19790300256,6,1978,2.3025850929940455
EP19790302564,2,1978,1.3862943611198906
EP19790300084,1,1978,1.0986122886681096
EP19790301284,1,1978,1.0986122886681096
EP19800302659,2,1979,-0.0
EP19780300873,2,1978,2.0794415416798357
EP19790300711,1,1978,-0.0
EP19790300712,1,1978,1.6094379124341005
EP19790301389,1,1978,-0.0
EP19790301608,1,1978,1.6094379124341005
EP19790301646,3,1978,2.0794415416798357
EP19790300598,4,1978,2.639057329615258
EP19790302509,2,1978,1.7917594692280547
EP19800300188,1,1979,1.7917594692280547
EP19780101826,1,1977,1.7917594692280547
EP19790302080,1,1978,1.3862943611198906
EP19780300488,2,1977,1.7917594692280547
EP19780300869,4,1977,2.890371757896165
EP19800303666,1,1979,1.7917594692280547
EP19790301197,7,1978,1.3862943611198906
EP19800300617,7,1979,1.6094379124341005
EP19800303797,3,1979,2.1972245773362196
EP19790301773,9,1978,2.3025850929940455
EP19780300566,3,1977,1.0986122886681096
EP19800300086,1,1979,1.0986122886681096
EP19790301488,1,1978,0.6931471805599453
EP19800304467,10,1979,1.6094379124341005
EP19790302978,22,1978,1.6094379124341005
EP19780300485,6,1977,1.6094379124341005
EP19790301318,1,1978,1.0986122886681096
EP19810300250,1,1980,1.3862943611198906
EP19810300251,1,1980,1.3862943611198906
EP19780300522,2,1977,1.945910149055313
EP19810301324,4,1980,2.9444389791664403
EP19790300190,9,1978,2.995732273553991
EP19810301606,2,1980,1.7917594692280547
EP19800301838,7,1979,2.484906649788001
EP19810301883,1,1980,1.6094379124341005
EP19800810231,1,1979,1.0986122886681096
EP19810301683,5,1980,2.484906649788001
EP19800710008,3,1979,2.0794415416798357
EP19810303000,1,1980,3.2188758248682
EP19800300039,1,1979,1.945910149055313
EP19800300040,1,1979,1.3862943611198906
EP19810303192,1,1980,1.6094379124341005
EP19790300371,4,1978,-0.0
EP19810303534,1,1980,-0.0
EP19790300230,1,1978,1.6094379124341005
EP19800303729,4,1979,2.9444389791664403
EP19800303753,3,1979,1.3862943611198906
EP19810304086,1,1980,1.6094379124341005
EP19790302254,2,1978,1.945910149055313
EP19810304540,13,1980,2.0794415416798357
EP19800304709,1,1980,1.7917594692280547
EP19800300431,2,1979,-0.0
EP19790301671,1,1978,1.3862943611198906
EP19810303270,1,1980,2.3978952727983707
EP19810110553,2,1980,2.639057329615258
EP19800103657,1,1979,2.639057329615258
EP19810305670,2,1980,1.0986122886681096
EP19810306127,1,1980,-0.0
EP19800303101,2,1979,1.945910149055313
EP19820300116,1,1981,1.6094379124341005
EP19780100717,1,1977,1.3862943611198906
EP19820300365,1,1981,1.6094379124341005
EP19810300427,3,1980,2.639057329615258
EP19800302498,1,1979,-0.0
EP19810303256,3,1980,-0.0
EP19820300398,1,1981,1.6094379124341005
EP19790301208,1,1978,1.6094379124341005
EP19820301278,1,1981,2.3025850929940455
EP19820301279,1,1981,2.484906649788001
EP19800303036,1,1979,-0.0
EP19820302274,1,1981,1.6094379124341005
EP19800300522,2,1979,1.3862943611198906
EP19820302335,1,1981,1.6094379124341005
EP19800303890,4,1979,2.564949357461537
EP19820302660,2,1981,0.6931471805599453
EP19810300896,4,1980,2.0794415416798357
EP19810302709,2,1980,2.0794415416798357
EP19810302630,6,1980,2.1972245773362196
EP19800304407,1,1979,2.70805020110221
EP19820302930,2,1981,2.3978952727983707
EP19820303057,3,1981,1.945910149055313
EP19820303310,3,1981,2.833213344056216
EP19790300600,4,1979,0.6931471805599453
EP19820303311,2,1981,2.833213344056216
EP19820303055,1,1981,0.6931471805599453
EP19820303058,1,1981,1.945910149055313
EP19810300538,1,1980,1.7917594692280547
EP19820303313,1,1981,0.6931471805599453
EP19810305836,1,1980,1.945910149055313
EP19820302004,3,1981,2.1972245773362196
EP19810302710,4,1980,2.0794415416798357
EP19800303379,1,1979,1.945910149055313
EP19800302237,1,1979,1.6094379124341005
EP19810300479,1,1980,1.7917594692280547
EP19820304528,2,1981,3.737669618283368
EP19800303328,1,1979,-0.0
EP19810300185,2,1980,1.0986122886681096
EP19810300078,2,1980,2.639057329615258
EP19790301934,8,1978,1.0986122886681096
EP19830302188,2,1982,0.6931471805599453
EP19820304981,1,1981,-0.0
EP19790302445,1,1978,-0.0
EP19810302032,1,1980,1.0986122886681096
EP19820201204,1,1981,1.3862943611198906
EP19810109184,1,1980,-0.0
